question,answer,source,intent
what is the content of section 116?,"section 116 covers the abetment of offence punishable with imprisonment, with specific cases where the offence is not committed and if the abettor or person abetted is a public servant whose duty it is to prevent the offence.",IPC,law_info
"which section discusses the abetment of offence punishable with imprisonment, specifically in cases where the offence is not committed and if the abettor or person abetted is a public servant whose duty it is to prevent the offence?",this topic is covered in section 116.,IPC,law_info
what is section 117 about?,section 117 is about abetting the commission of an offence by the public or by more than ten persons.,IPC,law_info
which section is about abetting the commission of an offence by the public or by more than ten persons?,section 117 is about abetting the commission of an offence by the public or by more than ten persons.,IPC,law_info
what does section 120a define?,section 120a provides the definition of a criminal conspiracy.,IPC,law_info
which section provides the definition of a criminal conspiracy?,section 120a defines a criminal conspiracy.,IPC,law_info
what type of offence does section 121 deal with?,"section 121 deals with the offence of waging, or attempting to wage war, or abetting waging of war, against the government of india.",IPC,law_info
"which section of the law deals with the offence of waging, or attempting to wage war, or abetting waging of war, against the government of india?",section 121 deals with this offence.,IPC,law_info
what does section 122 cover?,"section 122 covers the act of collecting arms, etc., with the intention of waging war against the government of india.",IPC,law_info
"which section of the law covers the act of collecting arms, etc., with the intention of waging war against the government of india?","the act of collecting arms, etc., with the intention of waging war against the government of india is covered in section 122.",IPC,law_info
what is section 124a about?,section 124a covers the offence of sedition.,IPC,law_info
which section covers the offence of sedition?,section 124a covers the offence of sedition.,IPC,law_info
what does section 125 discuss?,section 125 discusses the offence of waging war against any asiatic power in alliance with the government of india.,IPC,law_info
which section discusses the offence of waging war against any asiatic power in alliance with the government of india?,section 125 discusses this offence.,IPC,law_info
what is the content of section 128?,section 128 discusses the offence of a public servant voluntarily allowing a prisoner of state or war to escape.,IPC,law_info
which section discusses the offence of a public servant voluntarily allowing a prisoner of state or war to escape?,section 128,IPC,law_info
"what is the offence related to abetting mutiny or attempting to seduce a soldier, sailor or airman from his duty?",131,IPC,law_info
"which number corresponds to the offence related to abetting mutiny or attempting to seduce a soldier, sailor or airman from his duty?",131,IPC,law_info
"what is the offence committed if a soldier, sailor or airman assaults his superior officer?",133,IPC,law_info
"what is the code number for the offence committed by a soldier, sailor or airman when they assault their superior officer?",133,IPC,law_info
what offence is committed if someone harbours a deserter?,136,IPC,law_info
what is the number associated with the offence of harboring a deserter?,136,IPC,law_info
"what is the offence related to wearing the garb or carrying token used by soldier, sailor or airman?",140,IPC,law_info
"what number represents the offence related to wearing the garb or carrying token used by soldier, sailor or airman?",140,IPC,law_info
what is the offence related to unlawful assembly?,141,IPC,law_info
what is the number associated with the offence related to unlawful assembly?,141,IPC,law_info
what offence is committed when joining an unlawful assembly armed with a deadly weapon?,144,IPC,law_info
what is the number associated with the offence committed when joining an unlawful assembly armed with a deadly weapon?,144,IPC,law_info
what offence is committed when assaulting or obstructing public servant when suppressing a riot?,152,IPC,law_info
what is the code for the offence committed when assaulting or obstructing a public servant when suppressing a riot?,152,IPC,law_info
"what is the offence related to promoting enmity between different groups on grounds of religion, race, place of birth, etc.?",153a,IPC,law_info
"what is the section number for the offence related to promoting enmity between different groups on grounds of religion, race, place of birth, etc.?",153a,IPC,law_info
"what is the punishment for knowingly carrying arms in any procession or organizing, or holding or taking part in any mass drill or mass training with arms?",153aa,IPC,law_info
what is the code 153aa associated with in terms of punishment?,"knowingly carrying arms in any procession or organizing, or holding or taking part in any mass drill or mass training with arms",IPC,law_info
what does section 153b of the law state?,"imputation, assertions prejudicial to nationalintegration.",IPC,law_info
"which section of the law states imputation, assertions prejudicial to nationalintegration?",section 153b,IPC,law_info
who does section 154 refer to?,owner or occupier of land on which an unlawful assembly is held.,IPC,law_info
what does the owner or occupier of land on which an unlawful assembly is held refer to in law?,section 154,IPC,law_info
what is the content of section 158?,being hired to take part in an unlawful assembly or riot or to go armed.,IPC,law_info
which section discusses being hired to take part in an unlawful assembly or riot or to go armed?,section 158,IPC,law_info
what does section 159 define?,affray.,IPC,law_info
which section defines affray?,section 159,IPC,law_info
what is the punishment in section 160?,punishment for committing affray.,IPC,law_info
which section of law details the punishment for committing affray?,section 160,IPC,law_info
what does section 166 refer to?,"public servant disobeying law, with intent to cause injury to any person.",IPC,law_info
"which section refers to a public servant disobeying law, with intent to cause injury to any person?",section 166,IPC,law_info
what is the focus of section 170?,personating a public servant.,IPC,law_info
which section focuses on personating a public servant?,section 170,IPC,law_info
what does section 171c cover?,undue influence at elections.,IPC,law_info
which section covers undue influence at elections?,section 171c,IPC,law_info
what is the crime in section 171e?,punishment for bribery.,IPC,law_info
which section includes the punishment for bribery?,section 171e,IPC,law_info
what does section 172 pertain to?,absconding to avoid service of summons of other proceeding.,IPC,law_info
which legal section pertains to absconding to avoid service of summons of other proceeding?,section 172,IPC,law_info
what does section 174a refer to?,nonappearance in response to a proclamation under section 82 of act 2 of 1974.,IPC,law_info
which section does the nonappearance in response to a proclamation under section 82 of act 2 of 1974 refer to?,section 174a,IPC,law_info
what is meant by omission to give notice or information to public servant by person legally bound to give it?,it refers to the act where a person who is legally obligated to provide certain information or notice to a public servant fails to do so.,IPC,law_info
what does the act where a person who is legally obligated to provide certain information or notice to a public servant fails to do so refer to?,it refers to omission to give notice or information to public servant by person legally bound to give it.,IPC,law_info
what is furnishing false information?,it refers to the act of providing incorrect or misleading information.,IPC,law_info
what does the act of providing incorrect or misleading information refer to?,it refers to furnishing false information.,IPC,law_info
what does resistance to the taking of property by the lawful authority of a public servant imply?,it means resisting or opposing the lawful action of a public servant to seize or take control of property.,IPC,law_info
what does it mean to resist or oppose the lawful action of a public servant to seize or take control of property?,it implies resistance to the taking of property by the lawful authority of a public servant.,IPC,law_info
what is illegal purchase or bid for property offered for sale by authority of public servant?,this denotes the act of illegally purchasing or bidding on property that has been put up for sale under the authority of a public servant.,IPC,law_info
what does the act of illegally purchasing or bidding on property that has been put up for sale under the authority of a public servant denote?,this denotes illegal purchase or bid for property offered for sale by authority of public servant.,IPC,law_info
what does obstructing public servant in discharge of public functions mean?,this means impeding or blocking a public servant from performing their official duties.,IPC,law_info
what does it mean to impede or block a public servant from performing their official duties?,this refers to obstructing public servant in discharge of public functions.,IPC,law_info
what is disobedience to order duly promulgated by public servant?,this refers to the act of not following or disobeying an order that has been officially issued by a public servant.,IPC,law_info
what does the act of not following or disobeying an order that has been officially issued by a public servant refer to?,it refers to disobedience to order duly promulgated by public servant.,IPC,law_info
what does giving false evidence mean?,this refers to the act of providing false or misleading information or testimony in a legal proceeding.,IPC,law_info
what act refers to providing false or misleading information or testimony in a legal proceeding?,giving false evidence refers to this act.,IPC,law_info
what is fabricating false evidence?,this refers to the creation or alteration of evidence with the intention to deceive or mislead.,IPC,law_info
what does the creation or alteration of evidence with the intention to deceive or mislead refer to?,fabricating false evidence,IPC,law_info
what is meant by using evidence known to be false?,this implies the act of knowingly using false or incorrect evidence in a legal proceeding.,IPC,law_info
what does the act of knowingly using false or incorrect evidence in a legal proceeding imply?,this is meant by using evidence known to be false.,IPC,law_info
what does issuing or signing false certificate mean?,this means to create or approve a certificate with false or misleading information.,IPC,law_info
what does it mean to create or approve a certificate with false or misleading information?,this is referred to as issuing or signing false certificate.,IPC,law_info
what does it mean to cause disappearance of evidence of offence or giving false information to screen offender?,it refers to the act of eliminating evidence or providing incorrect information with the intention of protecting an individual who has committed a crime.,IPC,law_info
what is referred to by the act of eliminating evidence or providing incorrect information with the intention of protecting an individual who has committed a crime?,it means to cause disappearance of evidence of offence or giving false information to screen offender.,IPC,law_info
what is the definition of intentional omission to give information of offence by person bound to inform?,"it refers to the deliberate failure of an individual, who is obligated to do so, to provide information about a crime.",IPC,law_info
"what does the deliberate failure of an individual, who is obligated to do so, to provide information about a crime refer to?",it refers to intentional omission to give information of offence by person bound to inform.,IPC,law_info
what is destruction of document to prevent its production as evidence?,it refers to the act of intentionally destroying a document to prevent it from being used as evidence in a legal proceeding.,IPC,law_info
what does the act of intentionally destroying a document to prevent it from being used as evidence in a legal proceeding refer to?,it refers to destruction of document to prevent its production as evidence.,IPC,law_info
what does false personation for purpose of act or proceeding in suit or prosecution mean?,it refers to the act of falsely representing oneself with the intention to deceive during a legal action or prosecution.,IPC,law_info
what does it mean when someone falsely represents themselves with the intention to deceive during a legal action or prosecution?,this is referred to as false personation for purpose of act or proceeding in suit or prosecution.,IPC,law_info
what is meant by harbouring offender?,it refers to the act of providing refuge or protection to an individual who has committed a crime.,IPC,law_info
what does the act of providing refuge or protection to an individual who has committed a crime refer to?,it is referred to as harbouring offender.,IPC,law_info
what does public servant disobeying direction of law with intent to save person from punishment or property from forfeiture imply?,it refers to a public servant intentionally disregarding the law with the aim of preventing a person from being punished or property from being seized.,IPC,law_info
what is meant by a public servant intentionally disregarding the law with the aim of preventing a person from being punished or property from being seized?,this is referred to as public servant disobeying direction of law with intent to save person from punishment or property from forfeiture.,IPC,law_info
"what is the meaning of public servant in judicial proceeding corruptly making report, etc., contrary to law?","it refers to a public servant who, during a judicial proceeding, dishonestly creates a report or takes an action that is against the law.",IPC,law_info
who does the term refer to that dishonestly creates a report or takes an action against the law during a judicial proceeding?,"the term refers to a public servant in judicial proceeding corruptly making report, etc., contrary to law.",IPC,law_info
what does section 221 refer to?,intentional omission to apprehend on the part of public servant bound to apprehend.,IPC,law_info
which section refers to the intentional omission to apprehend on the part of a public servant bound to apprehend?,section 221,IPC,law_info
what is mentioned in section 223?,escape from confinement or custody negligently suffered by public servant.,IPC,law_info
which section mentions about escape from confinement or custody negligently suffered by public servant?,section 223,IPC,law_info
what does section 225a cover?,"omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for.",IPC,law_info
"which section covers the omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for?",section 225a covers this.,IPC,law_info
what is the violation mentioned in section 227?,violation of condition of remission of punishment.,IPC,law_info
which section mentions the violation of condition of remission of punishment?,section 227,IPC,law_info
what is the crime defined in section 228a?,"disclosure of identity of the victim of certain offences, etc.",IPC,law_info
"which section of law defines the crime of disclosure of identity of the victim of certain offences, etc.?",section 228a,IPC,law_info
what does section 229a refer to?,failure by person released on bail or bond to appear in court.,IPC,law_info
which section refers to the failure by person released on bail or bond to appear in court?,section 229a,IPC,law_info
what is the definition given in section 230?,coin defined. indian coin.,IPC,law_info
which section defines the term coin as indian coin?,section 230,IPC,law_info
what crime is covered under section 231?,counterfeiting coin.,IPC,law_info
under which section is the crime of counterfeiting coin covered?,section 231,IPC,law_info
what does section 235 concern?,possession of instrument or material for the purpose of using the same for counterfeiting coin if indian coin.,IPC,law_info
which section concerns possession of instrument or material for the purpose of using the same for counterfeiting coin if it is an indian coin?,section 235,IPC,law_info
what is the crime defined in section 238?,import or export of counterfeits of the indian coin.,IPC,law_info
which section of law defines the crime of import or export of counterfeits of the indian coin?,section 238,IPC,law_info
what does section 242 refer to?,possession of counterfeit coin by person.,IPC,law_info
which section refers to the possession of counterfeit coin by a person?,section 242,IPC,law_info
what is the offence for a person who knowingly becomes possessed of a counterfeit indian coin?,the offence is outlined in section 243 possession of indian coin by person who knew it to be counterfeit when he became possessed thereof.,IPC,law_info
which section outlines the offence for a person who knowingly becomes possessed of a counterfeit indian coin?,the offence is outlined in section 243.,IPC,law_info
what is the crime for someone employed in mint causing coin to be of different weight or composition from that fixed by law?,the crime is defined in section 244 person employed in mint causing coin to be of different weight or composition from that fixed by law.,IPC,law_info
what is defined in section 244 regarding a person employed in mint causing coin to be of different weight or composition from that fixed by law?,the crime for someone employed in mint causing coin to be of different weight or composition from that fixed by law is defined in section 244.,IPC,law_info
what does section 245 refer to?,section 245 refers to the offence of unlawfully taking a coining instrument from mint.,IPC,law_info
what does the offense of unlawfully taking a coining instrument from mint refer to?,the offense of unlawfully taking a coining instrument from mint refers to section 245.,IPC,law_info
what does section 248 pertain to?,section 248 is about altering appearance of coin with intent that it shall pass as coin of different description.,IPC,law_info
which section is related to altering the appearance of a coin with the intent that it shall pass as a coin of a different description?,section 248 pertains to this.,IPC,law_info
what is the crime for delivering a coin that you know has been altered?,"the crime is described in section 250 delivery of coin, possessed with knowledge that it is altered.",IPC,law_info
"which section describes the crime of delivering a coin, possessed with knowledge that it is altered?",the crime is described in section 250.,IPC,law_info
what crime does section 255 refer to?,section 255 refers to the crime of counterfeiting a government stamp.,IPC,law_info
which section of the law refers to the crime of counterfeiting a government stamp?,the crime of counterfeiting a government stamp is referred to in section 255.,IPC,law_info
what does section 258 define?,section 258 defines the sale of counterfeit government stamp as a crime.,IPC,law_info
which section defines the sale of counterfeit government stamp as a crime?,section 258 defines the sale of counterfeit government stamp as a crime.,IPC,law_info
what is the crime for using a government stamp known to be counterfeit?,the crime is stated in section 260 using as genuine a government stamp known to be counterfeit.,IPC,law_info
what is stated in section 260 regarding the use of counterfeit government stamps?,section 260 states the crime for using as genuine a government stamp known to be counterfeit.,IPC,law_info
what is the offence defined in section 264?,section 264 defines the fraudulent use of false instrument for weighing as an offence.,IPC,law_info
what does section 264 specifically define as an offence?,the fraudulent use of false instrument for weighing,IPC,law_info
what does section 265 refer to?,section 265 refers to the fraudulent use of false weight or measure.,IPC,law_info
what does the fraudulent use of false weight or measure refer to in legal terms?,"in legal terms, the fraudulent use of false weight or measure refers to section 265.",IPC,law_info
what is the offence under section 268?,public nuisance.,IPC,law_info
which section of law is associated with the offence of public nuisance?,section 268,IPC,law_info
what is considered an offence under section 269?,negligent act likely to spread infection of disease dangerous to life.,IPC,law_info
which section of the law considers a negligent act likely to spread infection of disease dangerous to life as an offence?,section 269,IPC,law_info
what does section 271 state as an offence?,disobedience to quarantine rule.,IPC,law_info
which section states disobedience to quarantine rule as an offence?,section 271,IPC,law_info
what is the offence under section 277?,fouling water of public spring or reservoir.,IPC,law_info
which section of the law is violated by fouling water of public spring or reservoir?,section 277,IPC,law_info
what is considered an offence under section 283?,danger or obstruction in public way or line of navigation.,IPC,law_info
under which section is danger or obstruction in public way or line of navigation considered an offence?,section 283,IPC,law_info
what does section 295 refer to?,"injuring or defiling place of work ship, with intent to insult the religion of any class.",IPC,law_info
"what is the act of injuring or defiling place of work ship, with intent to insult the religion of any class referred to as?",section 295,IPC,law_info
what is the offence under section 297?,"trespassing on burial places, etc.",IPC,law_info
"which section of the law is violated by trespassing on burial places, etc.?",section 297,IPC,law_info
what is considered an offence under section 294a?,keeping lottery office.,IPC,law_info
under which section of law is keeping a lottery office considered an offence?,section 294a,IPC,law_info
what does section 292 state as an offence?,"sale, etc., of obscene books, etc.",IPC,law_info
"which section of the law states the offence of sale, etc., of obscene books, etc.?",section 292,IPC,law_info
what is the offence under section 286?,negligent conduct with respect to explosive substance.,IPC,law_info
which section is related to the offence of negligent conduct with respect to explosive substance?,section 286,IPC,law_info
what is defined by section 299?,culpable homicide,IPC,law_info
which section defines culpable homicide?,section 299,IPC,law_info
what kind of offense is outlined in section 300?,murder,IPC,law_info
which section of the law outlines the offense of murder?,section 300,IPC,law_info
what does section 304a describe?,causing death by negligence,IPC,law_info
which section describes causing death by negligence?,section 304a,IPC,law_info
what does section 305 cover?,abetment of suicide of child or insane person,IPC,law_info
which section covers the abetment of suicide of child or insane person?,section 305,IPC,law_info
what does section 312 define?,causing miscarriage,IPC,law_info
what is defined as causing miscarriage?,section 312,IPC,law_info
what is the crime outlined in section 319?,hurt,IPC,law_info
which section of the law outlines the crime of hurt?,section 319,IPC,law_info
what is the offense mentioned in section 320?,grievous hurt,IPC,law_info
which section of law mentions the offense of grievous hurt?,section 320,IPC,law_info
what does section 326a describe?,"voluntarily causing grievous hurt by use of acid, etc.",IPC,law_info
"which legal section describes the act of voluntarily causing grievous hurt by use of acid, etc.?",section 326a,IPC,law_info
what kind of crime is covered in section 327?,"voluntarily causing hurt to extort property, or to constrain to an illegal act",IPC,law_info
"which section covers the crime of voluntarily causing hurt to extort property, or to constrain to an illegal act?",section 327,IPC,law_info
what is the crime defined in section 328?,"causing hurt by means of poison, etc., with intent to commit an offence",IPC,law_info
"which section of law defines the crime of causing hurt by means of poison, etc., with intent to commit an offence?",section 328,IPC,law_info
"what is meant by voluntarily causing hurt to extort confession, or to compel restoration of property?","it refers to the act of intentionally causing physical harm to a person with the purpose of extracting a confession or compelling them to return stolen property, as described in section 330 and 331.",IPC,law_info
"what does the act of intentionally causing physical harm to a person with the purpose of extracting a confession or compelling them to return stolen property refer to, as described in section 330 and 331?","its referred to as voluntarily causing hurt to extort confession, or to compel restoration of property.",IPC,law_info
what does voluntarily causing grievous hurt to deter public servant from his duty imply?,"it refers to the act of intentionally causing serious physical harm to a public servant with the aim of preventing them from performing their duties, as described in section 333.",IPC,law_info
what is described in section 333 regarding harm to a public servant?,"section 333 describes voluntarily causing grievous hurt to deter public servant from his duty, which refers to the act of intentionally causing serious physical harm to a public servant with the aim of preventing them from performing their duties.",IPC,law_info
what is defined as wrongful confinement?,"wrongful confinement refers to the act of unlawfully restricting a persons freedom of movement, as described in section 340.",IPC,law_info
which section describes the act of wrongful confinement as the unlawful restriction of a persons freedom of movement?,section 340 describes the act of wrongful confinement.,IPC,law_info
what is the meaning of assault or criminal force to deter public servant from discharge of his duty?,"it refers to the act of carrying out an assault or using criminal force to prevent a public servant from performing their duties, as described in section 353.",IPC,law_info
what does the act described in section 353 refer to?,it refers to the act of assault or criminal force to deter public servant from discharge of his duty.,IPC,law_info
what is sexual harassment and punishment for sexual harassment?,"it refers to the act of engaging in unwanted sexual behaviour towards another person and the corresponding punishments for such behaviours, as outlined in section 354a.",IPC,law_info
what does section 354a outline?,"section 354a outlines the act of engaging in unwanted sexual behaviour towards another person and the corresponding punishments for such behaviours, which is also known as sexual harassment and punishment for sexual harassment.",IPC,law_info
what does assault or criminal force in attempt wrongfully to refer to?,"it refers to the act of using assault or criminal force in a wrongful attempt to achieve a certain goal, as partially described in section 357.",IPC,law_info
"what does the act of using assault or criminal force in a wrongful attempt to achieve a certain goal refer to, as partially described in section 357?",it refers to assault or criminal force in attempt wrongfully to.,IPC,law_info
what is the definition of section 358?,assault or criminal force on grave provocation.,IPC,law_info
which section of law is defined as assault or criminal force on grave provocation?,section 358,IPC,law_info
what does section 359 cover?,kidnapping.,IPC,law_info
which section covers kidnapping?,section 359,IPC,law_info
what does section 361 mention?,kidnapping from lawful guardianship.,IPC,law_info
which section mentions kidnapping from lawful guardianship?,section 361,IPC,law_info
what is the punishment for kidnapping as per section 363?,punishment for kidnapping.,IPC,law_info
what is section 363 about?,section 363 is about the punishment for kidnapping.,IPC,law_info
what does section 364a cover?,"kidnapping for ransom, etc.",IPC,law_info
"which section covers kidnapping for ransom, etc.?",section 364a,IPC,law_info
what is section 365 about?,kidnapping or abducting with intent secretly and wrongfully to confine person.,IPC,law_info
which section is about kidnapping or abducting with intent secretly and wrongfully to confine person?,section 365,IPC,law_info
what does section 370 cover?,trafficking of person.,IPC,law_info
which section covers the trafficking of person?,section 370,IPC,law_info
what is the definition of section 375?,rape.,IPC,law_info
which legal section is defined as rape?,section 375,IPC,law_info
what is the punishment for rape as per section 376?,punishment for rape.,IPC,law_info
what does section 376 pertain to?,punishment for rape.,IPC,law_info
what does section 378 cover?,theft.,IPC,law_info
what is covered under section 378?,theft.,IPC,law_info
what is the punishment for theft as per section 379?,punishment for theft.,IPC,law_info
what does section 379 pertain to in law?,punishment for theft.,IPC,law_info
what does section 383 cover?,extortion.,IPC,law_info
which section covers extortion?,section 383,IPC,law_info
what is the punishment for extortion?,the text does not provide specific information about the punishment for extortion.,IPC,law_info
does the text provide specific information about the punishment for extortion?,"no, the text does not provide specific information about the punishment for extortion.",IPC,law_info
what does section 385 relate to?,section 385 relates to putting a person in fear of injury in order to commit extortion.,IPC,law_info
which section relates to putting a person in fear of injury in order to commit extortion?,section 385 relates to this.,IPC,law_info
what is defined in section 390?,section 390 defines robbery.,IPC,law_info
what does section 390 define?,section 390 defines robbery.,IPC,law_info
what is section 391 about?,section 391 is about dacoity.,IPC,law_info
which section is about dacoity?,section 391 is about dacoity.,IPC,law_info
what does section 406 describe?,section 406 describes the punishment for criminal breach of trust.,IPC,law_info
what is described as the punishment for criminal breach of trust?,the punishment for criminal breach of trust is described in section 406.,IPC,law_info
what is addressed in section 410?,section 410 addresses stolen property.,IPC,law_info
which section addresses stolen property?,section 410 addresses stolen property.,IPC,law_info
what is the topic of section 415?,section 415 is about cheating.,IPC,law_info
which section is about cheating?,section 415 is about cheating.,IPC,law_info
what does section 417 outline?,section 417 outlines the punishment for cheating.,IPC,law_info
which section outlines the punishment for cheating?,section 417 outlines the punishment for cheating.,IPC,law_info
what does section 416 entail?,section 416 entails cheating by personation.,IPC,law_info
which section entails cheating by personation?,section 416 entails cheating by personation.,IPC,law_info
what does section 418 discuss?,section 418 discusses cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect.,IPC,law_info
which section discusses cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect?,section 418 discusses this.,IPC,law_info
