question,answer,source,intent
under which section are properties that are seized or forfeited managed?,section 105f,CrPC,law_info
what notice does section 105g provide?,notice of forfeiture of property.,CrPC,law_info
which section provides the notice of forfeiture of property?,section 105g,CrPC,law_info
what does section 105h cover?,forfeiture of property in certain cases.,CrPC,law_info
which section covers the forfeiture of property in certain cases?,section 105h,CrPC,law_info
what is section 105i about?,fine in lieu of forfeiture.,CrPC,law_info
what does fine in lieu of forfeiture refer to in the context of law?,it refers to section 105i.,CrPC,law_info
what does section 105j declare?,certain transfers to be null and void.,CrPC,law_info
which section declares certain transfers to be null and void?,section 105j,CrPC,law_info
what is procedure 5k about?,procedure in respect of letter of request.,CrPC,law_info
which procedure is in respect of a letter of request?,procedure 5k,CrPC,law_info
what does 105l refer to?,application of this chapter.,CrPC,law_info
what is the term for the application of this chapter?,105l,CrPC,law_info
what is the purpose of section 106?,security for keeping the peace on conviction.,CrPC,law_info
what does section 106 provide security for?,keeping the peace on conviction,CrPC,law_info
what does section 107 entail?,security for keeping the peace in other cases.,CrPC,law_info
which section entails the security for keeping the peace in other cases?,section 107,CrPC,law_info
what is the focus of section 108?,security for good behaviour from persons disseminating seditious matters.,CrPC,law_info
what does section 108 focus on in relation to persons disseminating seditious matters?,security for good behaviour,CrPC,law_info
what does section 109 concern?,security for good behaviour from suspected persons.,CrPC,law_info
which section concerns security for good behaviour from suspected persons?,section 109,CrPC,law_info
what does section 110 deal with?,security for good behaviour from habitual offenders.,CrPC,law_info
which section deals with security for good behaviour from habitual offenders?,section 110,CrPC,law_info
what is the purpose of section 111?,order to be made.,CrPC,law_info
what happens in section 111?,order to be made.,CrPC,law_info
what does section 112 refer to?,procedure in respect of person present in court.,CrPC,law_info
which section refers to the procedure in respect of person present in court?,section 112,CrPC,law_info
what is section 113 about?,summons or warrant in case of person not so present.,CrPC,law_info
which section is about summons or warrant in case of person not so present?,section 113,CrPC,law_info
what does section 114 entail?,copy of order to accompany summons or warrant.,CrPC,law_info
which section entails that a copy of order must accompany summons or warrant?,section 114,CrPC,law_info
what is the focus of section 115?,power to dispense with personal attendance.,CrPC,law_info
which section focuses on the power to dispense with personal attendance?,section 115,CrPC,law_info
what does section 116 concern?,inquiry as to truth of information.,CrPC,law_info
which section is concerned with the inquiry as to truth of information?,section 116,CrPC,law_info
what does section 117 deal with?,order to give security.,CrPC,law_info
which section deals with order to give security?,section 117,CrPC,law_info
what is the purpose of section 118?,discharge of person informed against.,CrPC,law_info
which section is about the discharge of person informed against?,section 118,CrPC,law_info
what does section 119 refer to?,commencement of period for which security is required.,CrPC,law_info
which section refers to the commencement of period for which security is required?,section 119,CrPC,law_info
what is section 120 about?,contents of bond.,CrPC,law_info
which section is about the contents of bond?,section 120,CrPC,law_info
what does section 121 entail?,power to reject sureties.,CrPC,law_info
which section entails the power to reject sureties?,section 121,CrPC,law_info
what is the focus of section 122?,imprisonment in default of security.,CrPC,law_info
which section focuses on imprisonment in default of security?,section 122,CrPC,law_info
what does section 123 concern?,power to release persons imprisoned for fail.,CrPC,law_info
which section concerns the power to release persons imprisoned for fail?,section 123,CrPC,law_info
what is covered under chapter ix?,"order for maintenance of wives, children and parents",CrPC,law_info
"which chapter covers the order for maintenance of wives, children and parents?",chapter ix,CrPC,law_info
what is the purpose of section 125?,"order for maintenance of wives, children and parents",CrPC,law_info
"which legal section provides the order for maintenance of wives, children and parents?",section 125,CrPC,law_info
what is addressed in chapter x?,maintenance of public order and tranquillity,CrPC,law_info
which chapter discusses the maintenance of public order and tranquillity?,chapter x,CrPC,law_info
what does section 129 entail?,dispersal of assembly by use of civil force,CrPC,law_info
which section involves the dispersal of assembly by use of civil force?,section 129,CrPC,law_info
what is the function of section 133?,conditional order for removal of nuisance,CrPC,law_info
which section provides for a conditional order for removal of nuisance?,section 133,CrPC,law_info
what does section 139 describe?,power of magistrate to direct local investigation and examination,CrPC,law_info
which section describes the power of a magistrate to direct local investigation and examination?,section 139,CrPC,law_info
what is the power of the magistrate according to section 140?,"the magistrate has the power to furnish written instructions, etc.",CrPC,law_info
who has the power to furnish written instructions according to section 140?,the magistrate has the power to furnish written instructions.,CrPC,law_info
what happens when an order is made absolute according to section 141?,the procedure on the order being made absolute and consequences of disobedience are followed.,CrPC,law_info
what is followed when an order is made absolute according to section 141?,the procedure on the order being made absolute and consequences of disobedience are followed.,CrPC,law_info
what can a magistrate do in the case of a public nuisance according to section 143?,the magistrate may prohibit repetition or continuance of public nuisance.,CrPC,law_info
what action may a magistrate take to prevent the repetition or continuance of a public nuisance?,"according to section 143, the magistrate can prohibit the repetition or continuance of public nuisance.",CrPC,law_info
what power does section 144 give in urgent cases of nuisance or apprehended danger?,section 144 gives the power to issue order in urgent cases of nuisance or apprehended danger.,CrPC,law_info
what does section 144 allow to be issued in urgent cases of nuisance or apprehended danger?,section 144 gives the power to issue an order in urgent cases of nuisance or apprehended danger.,CrPC,law_info
what does section 144a prohibit?,section 144a gives the power to prohibit carrying arms in procession or mass drill or mass training with arms.,CrPC,law_info
which section gives the power to prohibit carrying arms in procession or mass drill or mass training with arms?,section 144a,CrPC,law_info
what procedure is followed when a dispute concerning land or water is likely to cause breach of peace according to section 145?,the procedure where dispute concerning land or water is likely to cause breach of peace is followed.,CrPC,law_info
what is the section that guides the procedure where a dispute concerning land or water is likely to cause a breach of peace?,section 145 guides the procedure where a dispute concerning land or water is likely to cause a breach of peace.,CrPC,law_info
what can be done in a dispute concerning right of use of land or water according to section 147?,"in a dispute concerning right of use of land or water, the provisions of section 147 are followed.",CrPC,law_info
what provisions are followed in a dispute concerning right of use of land or water?,the provisions of section 147 are followed.,CrPC,law_info
what is the role of the police in preventing cognizable offences according to section 149?,"according to section 149, its the duty of the police to prevent cognizable offences.",CrPC,law_info
whose duty is it to prevent cognizable offences according to section 149?,its the duty of the police to prevent cognizable offences according to section 149.,CrPC,law_info
what does section 151 entail in terms of preventing the commission of cognizable offences?,section 151 entails arrest to prevent the commission of cognizable offences.,CrPC,law_info
what is entailed in section 151 in relation to the prevention of cognizable offences?,section 151 entails arrest to prevent the commission of cognizable offences.,CrPC,law_info
what does section 152 aim to prevent?,section 152 aims to prevent injury to public property.,CrPC,law_info
which section aims to prevent injury to public property?,section 152 aims to prevent injury to public property.,CrPC,law_info
what is covered in chapter xii?,chapter xii covers information to the police and their powers to investigate.,CrPC,law_info
which chapter covers information to the police and their powers to investigate?,chapter xii covers information to the police and their powers to investigate.,CrPC,law_info
what does section 154 concern?,section 154 concerns information in cognizable cases.,CrPC,law_info
which section concerns information in cognizable cases?,section 154 concerns information in cognizable cases.,CrPC,law_info
what is the subject of section 155?,section 155 pertains to information as to noncognizable cases and investigation of such cases.,CrPC,law_info
what does section 155 pertain to?,section 155 pertains to information as to noncognizable cases and investigation of such cases.,CrPC,law_info
what does section 156 describe?,section 156 describes the police officers power to investigate cognizable cases.,CrPC,law_info
which section describes the police officers power to investigate cognizable cases?,section 156 describes the police officers power to investigate cognizable cases.,CrPC,law_info
what is the topic of section 157?,section 157 deals with the procedure for investigation.,CrPC,law_info
which section deals with the procedure for investigation?,section 157 deals with the procedure for investigation.,CrPC,law_info
what information is provided in section 158?,section 158 provides information on how to submit a report.,CrPC,law_info
which section provides information on how to submit a report?,section 158 provides information on how to submit a report.,CrPC,law_info
what does section 159 concern?,section 159 concerns the power to hold investigation or preliminary inquiry.,CrPC,law_info
what does the power to hold investigation or preliminary inquiry refer to in legal terms?,"in legal terms, the power to hold investigation or preliminary inquiry refers to section 159.",CrPC,law_info
what does section 160 discuss?,section 160 discusses the police officers power to require attendance of witnesses.,CrPC,law_info
which section discusses the police officers power to require attendance of witnesses?,section 160 discusses the police officers power to require attendance of witnesses.,CrPC,law_info
what is the subject of section 161?,section 161 pertains to the examination of witnesses by police.,CrPC,law_info
what does section 161 pertain to?,the examination of witnesses by police.,CrPC,law_info
what does section 162 cover?,section 162 covers statements to police not to be signed and the use of statements in evidence.,CrPC,law_info
which section covers statements to police not to be signed and the use of statements in evidence?,section 162 covers statements to police not to be signed and the use of statements in evidence.,CrPC,law_info
what is addressed in section 163?,section 163 addresses that no inducement is to be offered.,CrPC,law_info
which section addresses that no inducement is to be offered?,section 163 addresses that no inducement is to be offered.,CrPC,law_info
what information is given in section 164?,section 164 gives information on the recording of confessions and statements.,CrPC,law_info
what does section 164 provide information on?,section 164 provides information on the recording of confessions and statements.,CrPC,law_info
what does section 164a concern?,section 164a concerns the medical examination of the victim of rape.,CrPC,law_info
which section concerns the medical examination of the victim of rape?,section 164a concerns the medical examination of the victim of rape.,CrPC,law_info
what is the subject of section 165?,section 165 is about search by a police officer.,CrPC,law_info
which section is about search by a police officer?,section 165 is about search by a police officer.,CrPC,law_info
what is covered in section 166?,section 166 covers when an officer in charge of a police station may require another to issue a searchwarrant.,CrPC,law_info
which section of the law covers when an officer in charge of a police station may require another to issue a searchwarrant?,section 166 covers when an officer in charge of a police station may require another to issue a searchwarrant.,CrPC,law_info
what does section 166a discuss?,section 166a discusses a letter of request to a competent authority for investigation in a country or place outside india.,CrPC,law_info
which section discusses a letter of request to a competent authority for investigation in a country or place outside india?,section 166a discusses a letter of request to a competent authority for investigation in a country or place outside india.,CrPC,law_info
what is the topic of section 166b?,section 166b deals with a letter of request from a country or place outside india.,CrPC,law_info
which section deals with a letter of request from a country or place outside india?,section 166b deals with a letter of request from a country or place outside india.,CrPC,law_info
what is the procedure when an investigation cannot be completed in twentyfour hours?,167. procedure when investigation cannot be completed in twentyfour hours.,CrPC,law_info
what does the number 167 refer to in the context of procedures for investigations?,167 refers to the procedure when an investigation cannot be completed in twentyfour hours.,CrPC,law_info
what happens if the evidence is deficient for an accused person?,169. release of accused when evidence deficient.,CrPC,law_info
what is the procedure when the evidence against an accused person is not sufficient?,169. release of accused when evidence deficient.,CrPC,law_info
where should cases be sent when evidence is sufficient?,"170. cases to be sent to magistrate, when evidence is sufficient.",CrPC,law_info
what is the exact law or rule that indicates where cases should be sent when evidence is sufficient?,"170. cases to be sent to magistrate, when evidence is sufficient.",CrPC,law_info
are complainants and witnesses required to accompany police officers?,171. complainant and witnesses not to be required to accompany police officer and not to be subjected to restraint.,CrPC,law_info
who should not be required to accompany a police officer and not be subjected to restraint?,complainant and witnesses,CrPC,law_info
what does the police do upon completion of an investigation?,173. report of police officer on completion of investigation.,CrPC,law_info
what is the 173rd report of a police officer related to?,the 173rd report of a police officer is related to the completion of an investigation.,CrPC,law_info
what is the power of the court regarding summoning persons?,175. power to summon persons.,CrPC,law_info
what is the number associated with the power of the court to summon persons?,175,CrPC,law_info
who inquires into the cause of death?,176. inquiry by magistrate into cause of death.,CrPC,law_info
what is the role of the magistrate in regards to death?,the magistrate inquires into the cause of death.,CrPC,law_info
where is the ordinary place of inquiry and trial?,177. ordinary place of inquiry and trial.,CrPC,law_info
what is the designation for the ordinary place of inquiry and trial?,177,CrPC,law_info
where can an offence be triable?,179. offence triable where act is done or consequence ensues.,CrPC,law_info
what is the law number that states an offence is triable where the act is done or consequence ensues?,179,CrPC,law_info
what is the place of trial in case of certain offences?,181. place of trial in case of certain offences.,CrPC,law_info
what is the numerical designation for the legal statute regarding the place of trial in case of certain offences?,181,CrPC,law_info
what is the content of section 182?,"offences committed by letters, etc.",CrPC,law_info
"which section covers offences committed by letters, etc.?",section 182,CrPC,law_info
what does section 183 refer to?,offence committed on journey or voyage.,CrPC,law_info
which section refers to the offence committed on a journey or voyage?,section 183,CrPC,law_info
what is section 184 about?,place of trial for offences triable together.,CrPC,law_info
which section is about place of trial for offences triable together?,section 184,CrPC,law_info
what does section 185 state?,power to order cases to be tried in different sessions divisions.,CrPC,law_info
which section states the power to order cases to be tried in different sessions divisions?,section 185,CrPC,law_info
what is the content of section 186?,"high court to decide, in case of doubt, district where inquiry or trial shall take place.",CrPC,law_info
"which section of the law states that the high court will decide, in case of doubt, the district where an inquiry or trial shall take place?",section 186,CrPC,law_info
what does section 187 refer to?,power to issue summons or warrant for offence committed beyond local jurisdiction.,CrPC,law_info
which section refers to the power to issue summons or warrant for offence committed beyond local jurisdiction?,section 187,CrPC,law_info
what is section 188 about?,offence committed outside india.,CrPC,law_info
which section is about offences committed outside india?,section 188,CrPC,law_info
what does section 189 state?,receipt of evidence relating to offences committed outside india.,CrPC,law_info
which section states about the receipt of evidence relating to offences committed outside india?,section 189,CrPC,law_info
what is the content of section 190?,cognizance of offences by magistrates.,CrPC,law_info
which section contains information about cognizance of offences by magistrates?,section 190,CrPC,law_info
what does section 191 refer to?,transfer on application of the accused.,CrPC,law_info
which section refers to the transfer on application of the accused?,section 191,CrPC,law_info
what is section 192 about?,making over of cases to magistrates.,CrPC,law_info
which section is about making over of cases to magistrates?,section 192,CrPC,law_info
what does section 193 state?,cognizance of offences by courts of session.,CrPC,law_info
which section states about the cognizance of offences by courts of session?,section 193,CrPC,law_info
